Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request hour,Request day,Time Slot
619,Airport,1.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,11,Monday,Day
867,Airport,1.0,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,17,Monday,Evening
1807,City,1.0,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,9,Tuesday,Early Morning
2532,Airport,1.0,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,21,Tuesday,Evening
3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,8,Wednesday,Early Morning
3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,21,Wednesday,Evening
4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,6,Thursday,Early Morning
5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,5,Friday,Early Morning
6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,17,Friday,Evening
267,City,2.0,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,6,Monday,Early Morning
1467,Airport,2.0,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,5,Tuesday,Early Morning
1983,City,2.0,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,12,Tuesday,Day
2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,4,Wednesday,Late Night
3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,8,Wednesday,Early Morning
3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,14,Wednesday,Day
3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,17,Wednesday,Evening
4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,12,Thursday,Day
5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,22,Thursday,Night
535,Airport,3.0,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,10,Monday,Day
960,Airport,3.0,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,18,Monday,Evening
1934,Airport,3.0,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,11,Tuesday,Day
2083,Airport,3.0,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,15,Tuesday,Day
2211,Airport,3.0,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,18,Tuesday,Evening
